Filename;DIVYA.csv
Start Date;2009 01 01 / 03:52:56
Stop Date;2009 01 01 / 04:13:24
Serial Number;1551019J010
Identifier;id210

Setup;
Detector Mode;Internal Gating
Efficiency;10;%
Gate Width;5.00;ns
Trigger Delay;0.00;ns
Dead Time;2.50;us
Frequency;500000;Hz

Counting mode;Frequency
Integration time;0.2;s

Period;Detection;Detection Standard Deviation;Detection Min;Detection Max;Auxiliary1;Auxiliary1 Standard Deviation;Auxiliary1 Min;Auxiliary1 Max;Auxiliary2;Auxiliary2 Standard Deviation;Auxiliary2 Min;Auxiliary2 Max;Auxiliary1&2;Auxiliary1&2 Standard Deviation;Auxiliary1&2 Min;Auxiliary1&2 Max;Gate;Gate Standard Deviation;Gate Min;Gate Max;Clock;Clock Standard Deviation;Clock Min;Clock Max
143;2540;0;2540;2540;0;0;0;0;0;0;0;0;0;0;0;0;497465;0;497465;497465;500000;0;500000;500000
144;2450;0;2450;2450;0;0;0;0;0;0;0;0;0;0;0;0;497545;0;497545;497545;500000;0;500000;500000
145;2635;0;2635;2635;0;0;0;0;0;0;0;0;0;0;0;0;497365;0;497365;497365;500000;0;500000;500000
146;2630;0;2630;2630;0;0;0;0;0;0;0;0;0;0;0;0;497370;0;497370;497370;500000;0;500000;500000
147;2455;0;2455;2455;0;0;0;0;0;0;0;0;0;0;0;0;497545;0;497545;497545;500000;0;500000;500000
148;2635;0;2635;2635;0;0;0;0;0;0;0;0;0;0;0;0;497365;0;497365;497365;500000;0;500000;500000
149;2270;0;2270;2270;0;0;0;0;0;0;0;0;0;0;0;0;497730;0;497730;497730;500000;0;500000;500000
150;2515;0;2515;2515;0;0;0;0;0;0;0;0;0;0;0;0;497485;0;497485;497485;500000;0;500000;500000
151;2535;0;2535;2535;0;0;0;0;0;0;0;0;0;0;0;0;497465;0;497465;497465;500000;0;500000;500000
152;2545;0;2545;2545;0;0;0;0;0;0;0;0;0;0;0;0;497455;0;497455;497455;500000;0;500000;500000
153;2345;0;2345;2345;0;0;0;0;0;0;0;0;0;0;0;0;497655;0;497655;497655;500000;0;500000;500000
154;2240;0;2240;2240;0;0;0;0;0;0;0;0;0;0;0;0;497760;0;497760;497760;500000;0;500000;500000
155;2565;0;2565;2565;0;0;0;0;0;0;0;0;0;0;0;0;497435;0;497435;497435;500000;0;500000;500000
156;2735;0;2735;2735;0;0;0;0;0;0;0;0;0;0;0;0;497265;0;497265;497265;500000;0;500000;500000
157;2615;0;2615;2615;0;0;0;0;0;0;0;0;0;0;0;0;497385;0;497385;497385;500000;0;500000;500000
158;2460;0;2460;2460;0;0;0;0;0;0;0;0;0;0;0;0;497540;0;497540;497540;500000;0;500000;500000
159;2395;0;2395;2395;0;0;0;0;0;0;0;0;0;0;0;0;497605;0;497605;497605;500000;0;500000;500000
160;2525;0;2525;2525;0;0;0;0;0;0;0;0;0;0;0;0;497475;0;497475;497475;500000;0;500000;500000
161;2670;0;2670;2670;0;0;0;0;0;0;0;0;0;0;0;0;497330;0;497330;497330;500000;0;500000;500000
162;2580;0;2580;2580;0;0;0;0;0;0;0;0;0;0;0;0;497420;0;497420;497420;500000;0;500000;500000
163;2590;0;2590;2590;0;0;0;0;0;0;0;0;0;0;0;0;497410;0;497410;497410;500000;0;500000;500000
164;2470;0;2470;2470;0;0;0;0;0;0;0;0;0;0;0;0;497530;0;497530;497530;500000;0;500000;500000
165;2490;0;2490;2490;0;0;0;0;0;0;0;0;0;0;0;0;497510;0;497510;497510;500000;0;500000;500000
166;2445;0;2445;2445;0;0;0;0;0;0;0;0;0;0;0;0;497555;0;497555;497555;500000;0;500000;500000
167;2665;0;2665;2665;0;0;0;0;0;0;0;0;0;0;0;0;497335;0;497335;497335;500000;0;500000;500000
168;2445;0;2445;2445;0;0;0;0;0;0;0;0;0;0;0;0;497555;0;497555;497555;500000;0;500000;500000
169;2610;0;2610;2610;0;0;0;0;0;0;0;0;0;0;0;0;497390;0;497390;497390;500000;0;500000;500000
170;2600;0;2600;2600;0;0;0;0;0;0;0;0;0;0;0;0;497400;0;497400;497400;500000;0;500000;500000
171;2535;0;2535;2535;0;0;0;0;0;0;0;0;0;0;0;0;497465;0;497465;497465;500000;0;500000;500000
172;2750;0;2750;2750;0;0;0;0;0;0;0;0;0;0;0;0;497250;0;497250;497250;500000;0;500000;500000
173;2390;0;2390;2390;0;0;0;0;0;0;0;0;0;0;0;0;497610;0;497610;497610;500000;0;500000;500000
174;2585;0;2585;2585;0;0;0;0;0;0;0;0;0;0;0;0;497415;0;497415;497415;500000;0;500000;500000
175;2555;0;2555;2555;0;0;0;0;0;0;0;0;0;0;0;0;497445;0;497445;497445;500000;0;500000;500000
176;2530;0;2530;2530;0;0;0;0;0;0;0;0;0;0;0;0;497470;0;497470;497470;500000;0;500000;500000
177;2455;0;2455;2455;0;0;0;0;0;0;0;0;0;0;0;0;497545;0;497545;497545;500000;0;500000;500000
178;2475;0;2475;2475;0;0;0;0;0;0;0;0;0;0;0;0;497525;0;497525;497525;500000;0;500000;500000
179;2470;0;2470;2470;0;0;0;0;0;0;0;0;0;0;0;0;497530;0;497530;497530;500000;0;500000;500000
180;2580;0;2580;2580;0;0;0;0;0;0;0;0;0;0;0;0;497420;0;497420;497420;500000;0;500000;500000
181;2455;0;2455;2455;0;0;0;0;0;0;0;0;0;0;0;0;497545;0;497545;497545;500000;0;500000;500000
182;2620;0;2620;2620;0;0;0;0;0;0;0;0;0;0;0;0;497380;0;497380;497380;500000;0;500000;500000
183;2460;0;2460;2460;0;0;0;0;0;0;0;0;0;0;0;0;497540;0;497540;497540;500000;0;500000;500000
184;2550;0;2550;2550;0;0;0;0;0;0;0;0;0;0;0;0;497450;0;497450;497450;500000;0;500000;500000
185;2495;0;2495;2495;0;0;0;0;0;0;0;0;0;0;0;0;497505;0;497505;497505;500000;0;500000;500000
186;2475;0;2475;2475;0;0;0;0;0;0;0;0;0;0;0;0;497525;0;497525;497525;500000;0;500000;500000
187;2600;0;2600;2600;0;0;0;0;0;0;0;0;0;0;0;0;497400;0;497400;497400;500000;0;500000;500000
188;2340;0;2340;2340;0;0;0;0;0;0;0;0;0;0;0;0;497660;0;497660;497660;500000;0;500000;500000
189;2480;0;2480;2480;0;0;0;0;0;0;0;0;0;0;0;0;497520;0;497520;497520;500000;0;500000;500000
190;2485;0;2485;2485;0;0;0;0;0;0;0;0;0;0;0;0;497515;0;497515;497515;500000;0;500000;500000
